iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
35,"(20, 3)","(21, 3)",West,"[((19, 3), 'West', 1)]","[(20, 3), (21, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(21, 1), (19, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (20, 3), (22, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",21,21,42
36,"(21, 1)","(22, 1)",West,"[((20, 1), 'West', 1)]","[(21, 1), (19, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(19, 3), (20, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (20, 3), (22, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",22,20,42
37,"(19, 3)","(20, 3)",West,"[((18, 3), 'West', 1)]","[(19, 3), (20, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(20, 1), (18, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (19, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (20, 3), (22, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",22,20,42
38,"(20, 1)","(21, 1)",West,"[((19, 1), 'West', 1)]","[(20, 1), (18, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(18, 3), (19, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (19, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (29, 3), (31, 3), (23, 2), (20, 3), (22, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",23,19,42
39,"(18, 3)","(19, 3)",West,"[((17, 3), 'West', 1)]","[(18, 3), (19, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(19, 1), (17, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (19, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (18, 3), (29, 3), (31, 3), (23, 2), (20, 3), (22, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",23,19,42
40,"(19, 1)","(20, 1)",West,[],"[(19, 1), (17, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(17, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4), (24, 1)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (19, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (18, 3), (29, 3), (31, 3), (23, 2), (20, 3), (22, 3), (27, 2), (19, 1), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",24,18,42
41,"(17, 3)","(18, 3)",West,"[((16, 3), 'West', 1)]","[(17, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4), (24, 1)]","[(16, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (17, 3), (19, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (18, 3), (29, 3), (31, 3), (23, 2), (20, 3), (22, 3), (27, 2), (19, 1), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",24,18,42
42,"(16, 3)","(17, 3)",West,"[((15, 3), 'West', 1)]","[(16, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]","[(15, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (17, 3), (19, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (16, 3), (18, 3), (29, 3), (31, 3), (23, 2), (20, 3), (22, 3), (27, 2), (19, 1), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2), (21, 1)]",25,17,42
43,"(15, 3)","(16, 3)",West,"[((15, 4), 'North', 1), ((15, 2), 'South', 1), ((14, 3), 'West', 1)]","[(15, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]","[(15, 2), (14, 3), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (17, 3), (19, 3), (33, 5), (32, 3), (35, 2), (35, 5), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (16, 3), (18, 3), (29, 3), (31, 3), (23, 2), (20, 3), (22, 3), (27, 2), (19, 1), (33, 3), (35, 3), (24, 3), (26, 3), (15, 3), (29, 5), (31, 2), (21, 1)]",26,16,42
44,"(15, 2)","(15, 3)",South,"[((15, 1), 'South', 1)]","[(15, 2), (14, 3), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]","[(14, 3), (15, 1), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]","[(31, 5), (23, 1), (34, 1), (27, 1), (28, 3), (17, 3), (19, 3), (33, 5), (32, 3), (35, 2), (35, 5), (15, 2), (29, 4), (31, 4), (22, 1), (21, 3), (31, 1), (20, 1), (23, 3), (34, 3), (27, 3), (30, 5), (33, 4), (33, 1), (35, 4), (25, 3), (35, 1), (16, 3), (18, 3), (29, 3), (31, 3), (23, 2), (20, 3), (22, 3), (27, 2), (19, 1), (33, 3), (35, 3), (24, 3), (26, 3), (15, 3), (29, 5), (31, 2), (21, 1)]",27,15,42
