iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
32,"(30, 5)","(30, 6)",South,"[((30, 4), 'South', 1)]","['(30, 5)', '(29, 6)', '(29, 10)', '(33, 16)']","['(30, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",31,0,31
33,"(30, 4)","(30, 5)",South,"[((30, 3), 'South', 1), ((31, 4), 'East', 1)]","['(30, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(30, 3)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",32,0,32
34,"(30, 3)","(30, 4)",South,"[((31, 3), 'East', 1)]","['(30, 3)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(31, 3)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",33,0,33
35,"(31, 3)","(30, 3)",East,"[((31, 4), 'North', 1)]","['(31, 3)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(31, 4)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",34,0,34
36,"(31, 4)","(31, 3)",North,"[((32, 4), 'East', 1)]","['(31, 4)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(32, 4)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)]",35,0,35
37,"(32, 4)","(31, 4)",East,"[((33, 4), 'East', 1)]","['(32, 4)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(33, 4)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",36,0,36
38,"(33, 4)","(32, 4)",East,"[((34, 4), 'East', 1)]","['(33, 4)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(34, 4)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",37,0,37
39,"(34, 4)","(33, 4)",East,"[((34, 3), 'South', 1)]","['(34, 4)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(34, 3)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",38,0,38
40,"(34, 3)","(34, 4)",South,"[((34, 2), 'South', 1)]","['(34, 3)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(34, 2)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",39,0,39
41,"(34, 2)","(34, 3)",South,"[((34, 1), 'South', 1)]","['(34, 2)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(34, 1)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",40,0,40
42,"(34, 1)","(34, 2)",South,"[((33, 1), 'West', 1)]","['(34, 1)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(33, 1)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",41,0,41
43,"(33, 1)","(34, 1)",West,"[((32, 1), 'West', 1)]","['(33, 1)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(32, 1)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",42,0,42
44,"(32, 1)","(33, 1)",West,"[((31, 1), 'West', 1)]","['(32, 1)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(31, 1)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",43,0,43
45,"(31, 1)","(32, 1)",West,"[((30, 1), 'West', 1)]","['(31, 1)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(30, 1)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",44,0,44
46,"(30, 1)","(31, 1)",West,"[((29, 1), 'West', 1)]","['(30, 1)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","['(29, 1)', '(31, 4)', '(29, 6)', '(29, 10)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",45,0,45
