iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
27,"(18, 16)","(19, 16)",West,"[((17, 16), 'West', 1)]","[(18, 16), (26, 14), (31, 12)]","[(17, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (19, 16), (32, 16), (25, 14)]",16,32,48
28,"(17, 16)","(18, 16)",West,"[((16, 16), 'West', 1)]","[(17, 16), (26, 14), (31, 12)]","[(16, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",17,31,48
29,"(16, 16)","(17, 16)",West,"[((15, 16), 'West', 1)]","[(16, 16), (26, 14), (31, 12)]","[(15, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",18,30,48
30,"(15, 16)","(16, 16)",West,"[((14, 16), 'West', 1)]","[(15, 16), (26, 14), (31, 12)]","[(14, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",19,29,48
31,"(14, 16)","(15, 16)",West,"[((13, 16), 'West', 1)]","[(14, 16), (26, 14), (31, 12)]","[(13, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",20,28,48
32,"(13, 16)","(14, 16)",West,"[((12, 16), 'West', 1)]","[(13, 16), (26, 14), (31, 12)]","[(12, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",21,27,48
33,"(12, 16)","(13, 16)",West,"[((11, 16), 'West', 1)]","[(12, 16), (26, 14), (31, 12)]","[(11, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",22,26,48
34,"(11, 16)","(12, 16)",West,"[((10, 16), 'West', 1)]","[(11, 16), (26, 14), (31, 12)]","[(10, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",23,25,48
35,"(10, 16)","(11, 16)",West,"[((9, 16), 'West', 1)]","[(10, 16), (26, 14), (31, 12)]","[(9, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (10, 16), (32, 16), (25, 14)]",24,24,48
36,"(9, 16)","(10, 16)",West,"[((8, 16), 'West', 1)]","[(9, 16), (26, 14), (31, 12)]","[(8, 16), (26, 14), (31, 12)]","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (10, 16), (32, 16), (25, 14)]",25,23,48
