iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
40,"(33, 4)","(32, 4)",East,"[((34, 4), 'East', 1)]","[(33, 4), (33, 16)]","[(34, 4), (33, 16)]","[(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",35,35,35
41,"(34, 4)","(33, 4)",East,"[((34, 3), 'South', 1)]","[(34, 4), (33, 16)]","[(34, 3), (33, 16)]","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",36,36,36
42,"(34, 3)","(34, 4)",South,"[((34, 2), 'South', 1)]","[(34, 3), (33, 16)]","[(34, 2), (33, 16)]","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",37,35,35
43,"(34, 2)","(34, 3)",South,"[((34, 1), 'South', 1)]","[(34, 2), (33, 16)]","[(34, 1), (33, 16)]","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",38,34,34
44,"(34, 1)","(34, 2)",South,"[((33, 1), 'West', 1)]","[(34, 1), (33, 16)]","[(33, 1), (33, 16)]","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",39,33,33
45,"(33, 1)","(34, 1)",West,"[((32, 1), 'West', 1)]","[(33, 1), (33, 16)]","[(32, 1), (33, 16)]","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",40,32,32
46,"(32, 1)","(33, 1)",West,"[((31, 1), 'West', 1)]","[(32, 1), (33, 16)]","[(31, 1), (33, 16)]","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",41,31,31
47,"(31, 1)","(32, 1)",West,"[((30, 1), 'West', 1)]","[(31, 1), (33, 16)]","[(30, 1), (33, 16)]","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",42,30,30
48,"(30, 1)","(31, 1)",West,"[((29, 1), 'West', 1)]","[(30, 1), (33, 16)]","[(29, 1), (33, 16)]","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (29, 10), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",43,29,29
49,"(29, 1)","(30, 1)",West,"[((28, 1), 'West', 1)]","[(29, 1), (33, 16)]","[(28, 1), (33, 16)]","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (29, 10), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",44,28,28
50,"(28, 1)","(29, 1)",West,"[((27, 1), 'West', 1)]","[(28, 1), (33, 16)]","[(27, 1), (33, 16)]","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (29, 10), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (28, 1), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",45,27,27
51,"(27, 1)","(28, 1)",West,"[((27, 2), 'North', 1)]","[(27, 1), (33, 16)]","[(27, 2), (33, 16)]","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (27, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (29, 10), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (28, 1), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",46,26,26
