iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
29,"((13, 1), ())","((12, 1), ())",East,"[(((14, 1), ()), 'East', 1)]","[((13, 1), ()), ((13, 1), ()), ((14, 2), ()), ((12, 6), ()), ((4, 6), ()), ((5, 7), ()), ((6, 6), ()), ((3, 5), ()), ((3, 3), ())]","[((13, 1), ()), ((12, 6), ()), ((14, 2), ()), ((3, 5), ()), ((4, 6), ()), ((5, 7), ()), ((6, 6), ()), ((3, 3), ()), ((14, 1), ())]","[((6, 2), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((13, 1), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",14,38,52
30,"((14, 2), ())","((13, 2), ())",East,"[(((14, 1), ()), 'South', 1), (((15, 2), ()), 'East', 1)]","[((14, 2), ()), ((12, 6), ()), ((5, 7), ()), ((3, 5), ()), ((4, 6), ()), ((14, 1), ()), ((6, 6), ()), ((3, 3), ())]","[((12, 6), ()), ((4, 6), ()), ((5, 7), ()), ((3, 5), ()), ((3, 3), ()), ((14, 1), ()), ((6, 6), ()), ((14, 1), ()), ((15, 2), ())]","[((6, 2), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((14, 2), ()), ((13, 1), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",14,38,52
31,"((12, 6), ())","((13, 6), ())",West,"[(((11, 6), ()), 'West', 1)]","[((12, 6), ()), ((4, 6), ()), ((5, 7), ()), ((3, 5), ()), ((3, 3), ()), ((14, 1), ()), ((6, 6), ()), ((14, 1), ()), ((15, 2), ())]","[((5, 7), ()), ((4, 6), ()), ((6, 6), ()), ((3, 5), ()), ((3, 3), ()), ((14, 1), ()), ((15, 2), ()), ((14, 1), ()), ((11, 6), ())]","[((6, 2), ()), ((12, 6), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((14, 2), ()), ((13, 1), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",14,38,52
32,"((5, 7), ())","((5, 6), ())",North,"[(((5, 8), ()), 'North', 1)]","[((5, 7), ()), ((4, 6), ()), ((6, 6), ()), ((3, 5), ()), ((3, 3), ()), ((14, 1), ()), ((15, 2), ()), ((14, 1), ()), ((11, 6), ())]","[((6, 6), ()), ((4, 6), ()), ((14, 1), ()), ((3, 5), ()), ((3, 3), ()), ((11, 6), ()), ((15, 2), ()), ((14, 1), ()), ((5, 8), ())]","[((6, 2), ()), ((12, 6), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((14, 2), ()), ((5, 7), ()), ((13, 1), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",14,38,52
33,"((6, 6), ())","((5, 6), ())",East,"[(((7, 6), ()), 'East', 1)]","[((6, 6), ()), ((4, 6), ()), ((14, 1), ()), ((3, 5), ()), ((3, 3), ()), ((11, 6), ()), ((15, 2), ()), ((14, 1), ()), ((5, 8), ())]","[((4, 6), ()), ((3, 5), ()), ((14, 1), ()), ((14, 1), ()), ((3, 3), ()), ((11, 6), ()), ((15, 2), ()), ((5, 8), ()), ((7, 6), ())]","[((6, 2), ()), ((12, 6), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((14, 2), ()), ((6, 6), ()), ((5, 7), ()), ((13, 1), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",14,38,52
34,"((4, 6), ())","((5, 6), ())",West,"[(((3, 6), ()), 'West', 1)]","[((4, 6), ()), ((3, 5), ()), ((14, 1), ()), ((14, 1), ()), ((3, 3), ()), ((11, 6), ()), ((15, 2), ()), ((5, 8), ()), ((7, 6), ())]","[((3, 5), ()), ((3, 3), ()), ((14, 1), ()), ((14, 1), ()), ((7, 6), ()), ((11, 6), ()), ((15, 2), ()), ((5, 8), ()), ((3, 6), ())]","[((6, 2), ()), ((12, 6), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((4, 6), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((14, 2), ()), ((6, 6), ()), ((5, 7), ()), ((13, 1), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",14,38,52
35,"((3, 5), ())","((3, 4), ())",North,"[(((3, 6), ()), 'North', 1)]","[((3, 5), ()), ((3, 3), ()), ((14, 1), ()), ((14, 1), ()), ((7, 6), ()), ((11, 6), ()), ((15, 2), ()), ((5, 8), ()), ((3, 6), ())]","[((3, 3), ()), ((14, 1), ()), ((14, 1), ()), ((5, 8), ()), ((7, 6), ()), ((11, 6), ()), ((15, 2), ()), ((3, 6), ()), ((3, 6), ())]","[((6, 2), ()), ((12, 6), ()), ((9, 4), ()), ((4, 4), ()), ((6, 4), ()), ((4, 6), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((14, 2), ()), ((6, 6), ()), ((5, 7), ()), ((13, 1), ()), ((5, 2), ()), ((3, 5), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",14,38,52
36,"((3, 3), ())","((3, 4), ())",South,"[(((3, 2), ()), 'South', 1)]","[((3, 3), ()), ((14, 1), ()), ((14, 1), ()), ((5, 8), ()), ((7, 6), ()), ((11, 6), ()), ((15, 2), ()), ((3, 6), ()), ((3, 6), ())]","[((14, 1), ()), ((14, 1), ()), ((15, 2), ()), ((5, 8), ()), ((7, 6), ()), ((11, 6), ()), ((3, 6), ()), ((3, 6), ()), ((3, 2), ())]","[((6, 2), ()), ((12, 6), ()), ((9, 4), ()), ((4, 4), ()), ((3, 3), ()), ((6, 4), ()), ((4, 6), ()), ((9, 2), ()), ((12, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((14, 2), ()), ((6, 6), ()), ((5, 7), ()), ((13, 1), ()), ((5, 2), ()), ((3, 5), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",14,38,52
37,"((14, 1), ())","((13, 1), ())",East,"[(((15, 1), ()), 'East', 1)]","[((14, 1), ()), ((14, 1), ()), ((15, 2), ()), ((5, 8), ()), ((7, 6), ()), ((11, 6), ()), ((3, 6), ()), ((3, 6), ()), ((3, 2), ())]","[((14, 1), ()), ((5, 8), ()), ((15, 2), ()), ((3, 6), ()), ((7, 6), ()), ((11, 6), ()), ((3, 6), ()), ((3, 2), ()), ((15, 1), ())]","[((6, 2), ()), ((12, 6), ()), ((9, 4), ()), ((4, 4), ()), ((3, 3), ()), ((6, 4), ()), ((4, 6), ()), ((9, 2), ()), ((12, 1), ()), ((14, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((14, 2), ()), ((6, 6), ()), ((5, 7), ()), ((13, 1), ()), ((5, 2), ()), ((3, 5), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",15,38,53
38,"((15, 2), ())","((14, 2), ())",East,"[(((15, 1), ()), 'South', 1), (((16, 2), ()), 'East', 1)]","[((15, 2), ()), ((5, 8), ()), ((11, 6), ()), ((3, 6), ()), ((7, 6), ()), ((15, 1), ()), ((3, 6), ()), ((3, 2), ())]","[((11, 6), ()), ((5, 8), ()), ((3, 6), ()), ((3, 6), ()), ((7, 6), ()), ((15, 1), ()), ((3, 2), ()), ((15, 1), ()), ((16, 2), ())]","[((6, 2), ()), ((12, 6), ()), ((9, 4), ()), ((4, 4), ()), ((3, 3), ()), ((6, 4), ()), ((4, 6), ()), ((9, 2), ()), ((12, 1), ()), ((15, 2), ()), ((14, 1), ()), ((13, 2), ()), ((11, 4), ()), ((8, 2), ()), ((10, 4), ()), ((13, 5), ()), ((8, 4), ()), ((11, 2), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((12, 2), ()), ((5, 6), ()), ((11, 1), ()), ((9, 3), ()), ((13, 6), ()), ((7, 4), ()), ((12, 4), ()), ((14, 2), ()), ((6, 6), ()), ((5, 7), ()), ((13, 1), ()), ((5, 2), ()), ((3, 5), ()), ((11, 3), ()), ((5, 1), ()), ((13, 4), ())]",15,38,53
