iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
33,"(13, 9)","(13, 8)",North,"[((13, 10), 'North', 1), ((14, 9), 'East', 1)]","['(13, 9)', '(22, 5)']","['(22, 5)', '(13, 10)', '(14, 9)']","[(21, 10), (23, 7), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (21, 5), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (13, 9), (16, 5), (13, 6), (18, 11), (21, 7)]",14,0,14
34,"(22, 5)","(21, 5)",East,"[((23, 5), 'East', 1)]","['(22, 5)', '(13, 10)', '(14, 9)']","['(13, 10)', '(14, 9)', '(23, 5)']","[(21, 10), (23, 7), (22, 5), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (21, 5), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (13, 9), (16, 5), (13, 6), (18, 11), (21, 7)]",15,0,15
35,"(13, 10)","(13, 9)",North,"[((13, 11), 'North', 1)]","['(13, 10)', '(14, 9)', '(23, 5)']","['(14, 9)', '(23, 5)', '(13, 11)']","[(21, 10), (23, 7), (22, 5), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (13, 10), (21, 5), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (13, 9), (16, 5), (13, 6), (18, 11), (21, 7)]",15,0,15
36,"(14, 9)","(13, 9)",East,"[((15, 9), 'East', 1)]","['(14, 9)', '(23, 5)', '(13, 11)']","['(23, 5)', '(13, 11)', '(15, 9)']","[(21, 10), (23, 7), (22, 5), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (13, 10), (21, 5), (21, 8), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (13, 9), (16, 5), (13, 6), (18, 11), (21, 7)]",15,0,15
37,"(23, 5)","(22, 5)",East,"[((24, 5), 'East', 1)]","['(23, 5)', '(13, 11)', '(15, 9)']","['(13, 11)', '(15, 9)', '(24, 5)']","[(21, 10), (23, 7), (22, 5), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (13, 10), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (13, 9), (16, 5), (13, 6), (18, 11), (21, 7)]",16,0,16
38,"(13, 11)","(13, 10)",North,"[((13, 12), 'North', 1)]","['(13, 11)', '(15, 9)', '(24, 5)']","['(15, 9)', '(24, 5)', '(13, 12)']","[(21, 10), (23, 7), (22, 5), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 11), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (13, 10), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (13, 9), (16, 5), (13, 6), (18, 11), (21, 7)]",16,0,16
39,"(15, 9)","(14, 9)",East,[],"['(15, 9)', '(24, 5)', '(13, 12)']","['(24, 5)', '(13, 12)']","[(21, 10), (23, 7), (22, 5), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 11), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (13, 10), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (13, 9), (16, 5), (13, 6), (15, 9), (18, 11), (21, 7)]",16,0,16
40,"(24, 5)","(23, 5)",East,"[((25, 5), 'East', 1)]","['(24, 5)', '(13, 12)']","['(13, 12)', '(25, 5)']","[(21, 10), (23, 7), (22, 5), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (13, 10), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (13, 9), (16, 5), (13, 6), (15, 9), (18, 11), (21, 7)]",17,0,17
41,"(13, 12)","(13, 11)",North,"[((13, 13), 'North', 1)]","['(13, 12)', '(25, 5)']","['(25, 5)', '(13, 13)']","[(21, 10), (23, 7), (22, 5), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (13, 10), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (13, 9), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",17,0,17
42,"(25, 5)","(24, 5)",East,"[((25, 6), 'North', 1)]","['(25, 5)', '(13, 13)']","['(13, 13)', '(25, 6)']","[(21, 10), (23, 7), (22, 5), (21, 13), (17, 9), (17, 6), (17, 12), (13, 5), (13, 11), (24, 5), (13, 8), (15, 5), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (22, 7), (14, 9), (17, 5), (17, 11), (17, 8), (19, 11), (13, 7), (13, 10), (21, 5), (21, 8), (23, 5), (21, 11), (14, 5), (17, 7), (17, 10), (17, 13), (19, 13), (25, 5), (13, 9), (16, 5), (13, 6), (15, 9), (13, 12), (18, 11), (21, 7)]",18,0,18
