iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
26,"(8, 15)","(7, 15)",East,"[((9, 15), 'East', 1)]","['(8, 15)', '(3, 9)', '(6, 12)', '(2, 10)', '(7, 13)']","['(3, 9)', '(2, 10)', '(6, 12)', '(7, 13)', '(9, 15)']","[(6, 15), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 14), (3, 12), (3, 15), (5, 12), (5, 15), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15), (7, 14)]",7,0,7
27,"(3, 9)","(3, 10)",South,"[((3, 8), 'South', 1), ((4, 9), 'East', 1), ((2, 9), 'West', 1)]","['(3, 9)', '(2, 10)', '(6, 12)', '(7, 13)', '(9, 15)']","['(2, 10)', '(7, 13)', '(6, 12)', '(9, 15)', '(3, 8)', '(4, 9)', '(2, 9)']","[(6, 15), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 14), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15), (7, 14)]",8,0,8
28,"(2, 10)","(3, 10)",West,"[((1, 10), 'West', 1)]","['(2, 10)', '(7, 13)', '(6, 12)', '(9, 15)', '(3, 8)', '(4, 9)', '(2, 9)']","['(6, 12)', '(7, 13)', '(4, 9)', '(9, 15)', '(3, 8)', '(2, 9)', '(1, 10)']","[(6, 15), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 14), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15), (7, 14)]",8,0,8
29,"(6, 12)","(5, 12)",East,"[((6, 11), 'South', 1), ((7, 12), 'East', 1)]","['(6, 12)', '(7, 13)', '(4, 9)', '(9, 15)', '(3, 8)', '(2, 9)', '(1, 10)']","['(7, 13)', '(9, 15)', '(4, 9)', '(1, 10)', '(3, 8)', '(2, 9)', '(6, 11)', '(7, 12)']","[(6, 12), (6, 15), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 14), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15), (7, 14)]",8,0,8
30,"(7, 13)","(6, 13)",East,"[((8, 13), 'East', 1)]","['(7, 13)', '(9, 15)', '(4, 9)', '(1, 10)', '(3, 8)', '(2, 9)', '(6, 11)', '(7, 12)']","['(9, 15)', '(3, 8)', '(4, 9)', '(1, 10)', '(7, 12)', '(2, 9)', '(6, 11)', '(8, 13)']","[(6, 12), (6, 15), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 14), (4, 13), (5, 14), (1, 13), (2, 12), (2, 15), (7, 14)]",8,0,8
31,"(9, 15)","(8, 15)",East,"[((9, 14), 'South', 1), ((10, 15), 'East', 1)]","['(9, 15)', '(3, 8)', '(4, 9)', '(1, 10)', '(7, 12)', '(2, 9)', '(6, 11)', '(8, 13)']","['(3, 8)', '(1, 10)', '(4, 9)', '(8, 13)', '(7, 12)', '(2, 9)', '(6, 11)', '(9, 14)', '(10, 15)']","[(6, 12), (6, 15), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 14), (4, 13), (5, 14), (9, 15), (1, 13), (2, 12), (2, 15), (7, 14)]",8,0,8
32,"(3, 8)","(3, 9)",South,"[((3, 7), 'South', 1), ((2, 8), 'West', 1)]","['(3, 8)', '(1, 10)', '(4, 9)', '(8, 13)', '(7, 12)', '(2, 9)', '(6, 11)', '(9, 14)', '(10, 15)']","['(4, 9)', '(1, 10)', '(2, 9)', '(8, 13)', '(7, 12)', '(10, 15)', '(6, 11)', '(9, 14)', '(3, 7)', '(2, 8)']","[(6, 12), (6, 15), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (1, 13), (2, 12), (2, 15), (7, 14)]",9,0,9
33,"(4, 9)","(3, 9)",East,"[((5, 9), 'East', 1)]","['(4, 9)', '(1, 10)', '(2, 9)', '(8, 13)', '(7, 12)', '(10, 15)', '(6, 11)', '(9, 14)', '(3, 7)', '(2, 8)']","['(2, 9)', '(1, 10)', '(6, 11)', '(8, 13)', '(7, 12)', '(10, 15)', '(2, 8)', '(9, 14)', '(3, 7)', '(5, 9)']","[(6, 12), (6, 15), (4, 9), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (1, 13), (2, 12), (2, 15), (7, 14)]",9,0,9
34,"(2, 9)","(3, 9)",West,"[((1, 9), 'West', 1)]","['(2, 9)', '(1, 10)', '(6, 11)', '(8, 13)', '(7, 12)', '(10, 15)', '(2, 8)', '(9, 14)', '(3, 7)', '(5, 9)']","['(1, 10)', '(7, 12)', '(6, 11)', '(8, 13)', '(5, 9)', '(10, 15)', '(2, 8)', '(9, 14)', '(3, 7)', '(1, 9)']","[(6, 12), (6, 15), (4, 9), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (2, 9), (1, 13), (2, 12), (2, 15), (7, 14)]",9,0,9
35,"(1, 10)","(2, 10)",West,[],"['(1, 10)', '(7, 12)', '(6, 11)', '(8, 13)', '(5, 9)', '(10, 15)', '(2, 8)', '(9, 14)', '(3, 7)', '(1, 9)']","['(6, 11)', '(7, 12)', '(10, 15)', '(8, 13)', '(5, 9)', '(1, 9)', '(2, 8)', '(9, 14)', '(3, 7)']","[(6, 12), (6, 15), (4, 9), (3, 10), (5, 13), (4, 15), (3, 13), (8, 15), (2, 14), (1, 12), (1, 15), (6, 14), (7, 13), (3, 9), (3, 12), (3, 15), (5, 12), (5, 15), (2, 10), (1, 14), (2, 13), (6, 13), (7, 15), (3, 11), (3, 8), (3, 14), (4, 13), (5, 14), (9, 15), (2, 9), (1, 13), (2, 12), (1, 10), (2, 15), (7, 14)]",9,0,9
