iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
30,"(27, 12)","(27, 13)",South,"[((27, 11), 'South', 1)]","['(27, 12)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 11)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (27, 13), (17, 12), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (27, 12), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",29,0,29
31,"(27, 11)","(27, 12)",South,"[((27, 10), 'South', 1)]","['(27, 11)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 10)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (27, 13), (17, 12), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (27, 12), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (27, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",30,0,30
32,"(27, 10)","(27, 11)",South,"[((27, 9), 'South', 1)]","['(27, 10)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 9)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (27, 13), (17, 12), (27, 10), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (27, 12), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (27, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",31,0,31
33,"(27, 9)","(27, 10)",South,"[((27, 8), 'South', 1)]","['(27, 9)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 8)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (27, 13), (17, 12), (27, 10), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (27, 9), (27, 12), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (27, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",32,0,32
34,"(27, 8)","(27, 9)",South,"[((27, 7), 'South', 1)]","['(27, 8)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 7)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (27, 13), (17, 12), (27, 10), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (27, 9), (27, 12), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (27, 8), (27, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",33,0,33
35,"(27, 7)","(27, 8)",South,"[((27, 6), 'South', 1)]","['(27, 7)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 6)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (27, 7), (27, 13), (17, 12), (27, 10), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (17, 11), (27, 9), (27, 12), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (27, 8), (27, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",34,0,34
36,"(27, 6)","(27, 7)",South,"[((27, 5), 'South', 1)]","['(27, 6)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 5)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (27, 7), (27, 13), (17, 12), (27, 10), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (27, 6), (17, 11), (27, 9), (27, 12), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (27, 8), (27, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",35,0,35
37,"(27, 5)","(27, 6)",South,"[((27, 4), 'South', 1)]","['(27, 5)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 4)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (27, 7), (27, 13), (17, 12), (27, 10), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (27, 6), (17, 11), (27, 9), (27, 12), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (27, 8), (27, 5), (27, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",36,0,36
38,"(27, 4)","(27, 5)",South,"[((27, 3), 'South', 1)]","['(27, 4)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 3)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (27, 4), (27, 7), (27, 13), (17, 12), (27, 10), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (27, 6), (17, 11), (27, 9), (27, 12), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (27, 8), (27, 5), (27, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",37,0,37
39,"(27, 3)","(27, 4)",South,"[((27, 2), 'South', 1)]","['(27, 3)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","['(27, 2)', '(24, 11)', '(22, 7)', '(17, 10)', '(18, 11)']","[(21, 10), (22, 5), (21, 13), (27, 4), (27, 7), (27, 13), (17, 12), (27, 10), (25, 7), (24, 5), (25, 10), (25, 13), (21, 9), (20, 13), (18, 13), (21, 12), (21, 6), (27, 6), (17, 11), (27, 9), (27, 3), (27, 12), (25, 9), (25, 6), (25, 12), (26, 13), (21, 5), (21, 8), (23, 5), (21, 11), (27, 8), (27, 5), (27, 11), (17, 13), (19, 13), (25, 5), (25, 8), (25, 11), (21, 7)]",38,0,38
