iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
32,"(19, 13)","(18, 13)",East,"[((19, 12), 'South', 1), ((20, 13), 'East', 1)]","[(19, 13), (15, 8), (16, 9), (12, 9), (10, 7), (8, 7)]","[(15, 8), (16, 9), (12, 9), (10, 7), (8, 7), (19, 12), (20, 13)]","[(12, 13), (14, 10), (14, 13), (9, 8), (9, 11), (13, 11), (11, 11), (16, 13), (7, 10), (7, 13), (18, 13), (14, 9), (9, 7), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 13), (8, 13), (11, 12), (13, 9), (19, 13), (15, 9), (7, 11)]",16,0,16
33,"(15, 8)","(15, 9)",South,"[((15, 7), 'South', 1)]","[(15, 8), (16, 9), (12, 9), (10, 7), (8, 7), (19, 12), (20, 13)]","[(16, 9), (12, 9), (10, 7), (8, 7), (19, 12), (20, 13), (15, 7)]","[(12, 13), (14, 10), (14, 13), (9, 8), (9, 11), (13, 11), (11, 11), (15, 8), (16, 13), (7, 10), (7, 13), (18, 13), (14, 9), (9, 7), (9, 10), (10, 11), (9, 13), (11, 13), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 13), (8, 13), (11, 12), (13, 9), (19, 13), (15, 9), (7, 11)]",17,0,17
34,"(16, 9)","(15, 9)",East,"[((16, 10), 'North', 1)]","[(16, 9), (12, 9), (10, 7), (8, 7), (19, 12), (20, 13), (15, 7)]","[(12, 9), (10, 7), (8, 7), (19, 12), (20, 13), (15, 7), (16, 10)]","[(12, 13), (14, 10), (14, 13), (9, 8), (9, 11), (13, 11), (11, 11), (15, 8), (16, 13), (7, 10), (7, 13), (18, 13), (14, 9), (9, 7), (9, 10), (10, 11), (9, 13), (11, 13), (16, 9), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 13), (8, 13), (11, 12), (13, 9), (19, 13), (15, 9), (7, 11)]",17,0,17
35,"(12, 9)","(13, 9)",West,"[((11, 9), 'West', 1)]","[(12, 9), (10, 7), (8, 7), (19, 12), (20, 13), (15, 7), (16, 10)]","[(10, 7), (8, 7), (19, 12), (20, 13), (15, 7), (16, 10), (11, 9)]","[(12, 13), (14, 10), (14, 13), (9, 8), (9, 11), (13, 11), (11, 11), (15, 8), (16, 13), (7, 10), (7, 13), (18, 13), (12, 9), (14, 9), (9, 7), (9, 10), (10, 11), (9, 13), (11, 13), (16, 9), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 13), (8, 13), (11, 12), (13, 9), (19, 13), (15, 9), (7, 11)]",17,0,17
36,"(10, 7)","(9, 7)",East,"[((11, 7), 'East', 1)]","[(10, 7), (8, 7), (19, 12), (20, 13), (15, 7), (16, 10), (11, 9)]","[(8, 7), (19, 12), (20, 13), (15, 7), (16, 10), (11, 9), (11, 7)]","[(12, 13), (14, 10), (14, 13), (9, 8), (9, 11), (13, 11), (11, 11), (15, 8), (16, 13), (7, 10), (7, 13), (18, 13), (12, 9), (14, 9), (9, 7), (9, 10), (10, 11), (9, 13), (11, 13), (16, 9), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (17, 13), (10, 7), (10, 13), (8, 13), (11, 12), (13, 9), (19, 13), (15, 9), (7, 11)]",17,0,17
37,"(8, 7)","(9, 7)",West,"[((7, 7), 'West', 1)]","[(8, 7), (19, 12), (20, 13), (15, 7), (16, 10), (11, 9), (11, 7)]","[(19, 12), (20, 13), (15, 7), (16, 10), (11, 9), (11, 7), (7, 7)]","[(12, 13), (14, 10), (14, 13), (9, 8), (9, 11), (13, 11), (11, 11), (15, 8), (16, 13), (7, 10), (7, 13), (18, 13), (12, 9), (14, 9), (9, 7), (9, 10), (10, 11), (9, 13), (11, 13), (16, 9), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (8, 7), (17, 13), (10, 7), (10, 13), (8, 13), (11, 12), (13, 9), (19, 13), (15, 9), (7, 11)]",17,0,17
38,"(19, 12)","(19, 13)",South,"[((19, 11), 'South', 1)]","[(19, 12), (20, 13), (15, 7), (16, 10), (11, 9), (11, 7), (7, 7)]","[(20, 13), (15, 7), (16, 10), (11, 9), (11, 7), (7, 7), (19, 11)]","[(12, 13), (14, 10), (14, 13), (9, 8), (19, 12), (9, 11), (13, 11), (11, 11), (15, 8), (16, 13), (7, 10), (7, 13), (18, 13), (12, 9), (14, 9), (9, 7), (9, 10), (10, 11), (9, 13), (11, 13), (16, 9), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (8, 7), (17, 13), (10, 7), (10, 13), (8, 13), (11, 12), (13, 9), (19, 13), (15, 9), (7, 11)]",17,0,17
39,"(20, 13)","(19, 13)",East,"[((21, 13), 'East', 1)]","[(20, 13), (15, 7), (16, 10), (11, 9), (11, 7), (7, 7), (19, 11)]","[(15, 7), (16, 10), (11, 9), (11, 7), (7, 7), (19, 11), (21, 13)]","[(12, 13), (14, 10), (14, 13), (9, 8), (19, 12), (9, 11), (13, 11), (11, 11), (15, 8), (16, 13), (7, 10), (20, 13), (7, 13), (18, 13), (12, 9), (14, 9), (9, 7), (9, 10), (10, 11), (9, 13), (11, 13), (16, 9), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (8, 7), (17, 13), (10, 7), (10, 13), (8, 13), (11, 12), (13, 9), (19, 13), (15, 9), (7, 11)]",17,0,17
40,"(15, 7)","(15, 8)",South,"[((16, 7), 'East', 1), ((14, 7), 'West', 1)]","[(15, 7), (16, 10), (11, 9), (11, 7), (7, 7), (19, 11), (21, 13)]","[(16, 10), (11, 9), (11, 7), (7, 7), (19, 11), (21, 13), (16, 7), (14, 7)]","[(12, 13), (14, 10), (14, 13), (9, 8), (19, 12), (9, 11), (13, 11), (11, 11), (15, 8), (16, 13), (7, 10), (20, 13), (7, 13), (18, 13), (12, 9), (14, 9), (9, 7), (9, 10), (10, 11), (9, 13), (11, 13), (16, 9), (15, 7), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (8, 7), (17, 13), (10, 7), (10, 13), (8, 13), (11, 12), (13, 9), (19, 13), (15, 9), (7, 11)]",18,0,18
41,"(16, 10)","(16, 9)",North,"[((16, 11), 'North', 1)]","[(16, 10), (11, 9), (11, 7), (7, 7), (19, 11), (21, 13), (16, 7), (14, 7)]","[(11, 9), (11, 7), (7, 7), (19, 11), (21, 13), (16, 7), (14, 7), (16, 11)]","[(12, 13), (14, 10), (14, 13), (9, 8), (19, 12), (9, 11), (13, 11), (11, 11), (16, 10), (15, 8), (16, 13), (7, 10), (20, 13), (7, 13), (18, 13), (12, 9), (14, 9), (9, 7), (9, 10), (10, 11), (9, 13), (11, 13), (16, 9), (15, 7), (15, 13), (13, 13), (7, 9), (7, 12), (12, 11), (14, 11), (9, 9), (8, 7), (17, 13), (10, 7), (10, 13), (8, 13), (11, 12), (13, 9), (19, 13), (15, 9), (7, 11)]",18,0,18
