iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
32,"(9, 1)","(10, 1)",West,"[((8, 1), 'West', 1)]","[(9, 1), (16, 2), (14, 2), (11, 3), (12, 2)]","[(8, 1), (16, 2), (14, 2), (11, 3), (12, 2)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (10, 4), (11, 9), (10, 7), (10, 1), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",17,8,25
33,"(8, 1)","(9, 1)",West,"[((8, 2), 'North', 1)]","[(8, 1), (16, 2), (14, 2), (11, 3), (12, 2)]","[(16, 2), (12, 2), (14, 2), (11, 3), (8, 2)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (8, 1), (10, 4), (11, 9), (10, 7), (10, 1), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",18,7,25
34,"(16, 2)","(16, 1)",North,"[((16, 3), 'North', 1)]","[(16, 2), (12, 2), (14, 2), (11, 3), (8, 2)]","[(14, 2), (12, 2), (8, 2), (11, 3), (16, 3)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (17, 1), (8, 1), (10, 4), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",11,16,27
35,"(14, 2)","(14, 1)",North,"[((14, 3), 'North', 1)]","[(14, 2), (12, 2), (8, 2), (11, 3), (16, 3)]","[(12, 2), (11, 3), (8, 2), (16, 3), (14, 3)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (14, 2), (17, 1), (8, 1), (10, 4), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",13,14,27
36,"(12, 2)","(12, 1)",North,"[((12, 3), 'North', 1)]","[(12, 2), (11, 3), (8, 2), (16, 3), (14, 3)]","[(11, 3), (16, 3), (8, 2), (14, 3), (12, 3)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",15,12,27
37,"(11, 3)","(10, 3)",East,"[((12, 3), 'East', 1)]","[(11, 3), (16, 3), (8, 2), (14, 3), (12, 3)]","[(8, 2), (16, 3), (12, 3), (14, 3), (12, 3)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",15,12,27
38,"(8, 2)","(8, 1)",North,"[((8, 3), 'North', 1)]","[(8, 2), (16, 3), (12, 3), (14, 3), (12, 3)]","[(16, 3), (14, 3), (12, 3), (12, 3), (8, 3)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",19,8,27
39,"(16, 3)","(16, 2)",North,"[((16, 4), 'North', 1)]","[(16, 3), (14, 3), (12, 3), (12, 3), (8, 3)]","[(14, 3), (12, 3), (12, 3), (8, 3), (16, 4)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",12,17,29
40,"(14, 3)","(14, 2)",North,"[((14, 4), 'North', 1)]","[(14, 3), (12, 3), (12, 3), (8, 3), (16, 4)]","[(12, 3), (12, 3), (16, 4), (8, 3), (14, 4)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",14,15,29
41,"(12, 3)","(12, 2)",North,[],"[(12, 3), (12, 3), (16, 4), (8, 3), (14, 4)]","[(12, 3), (8, 3), (16, 4), (14, 4)]","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 1), (18, 4), (18, 1), (18, 7), (12, 3), (12, 9), (14, 3), (14, 9), (8, 2), (9, 1), (10, 2), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (12, 2), (14, 2), (17, 1), (8, 1), (10, 4), (11, 3), (11, 9), (10, 7), (10, 1), (16, 2), (13, 9), (18, 2), (15, 9), (18, 5), (18, 8)]",16,13,29
