iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
29,"(33, 11)","(33, 10)",North,[],"['(33, 11)', '(34, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","['(34, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (33, 11), (35, 5), (31, 4), (31, 7), (34, 3), (31, 10), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (33, 10), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (29, 11)]",16,0,16
30,"(34, 9)","(33, 9)",East,"[((35, 9), 'East', 1)]","['(34, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","['(35, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (33, 11), (35, 5), (31, 4), (31, 7), (34, 3), (31, 10), (34, 9), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (33, 10), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (29, 11)]",15,0,15
31,"(35, 9)","(34, 9)",East,"[((35, 10), 'North', 1)]","['(35, 9)', '(30, 5)', '(31, 2)', '(34, 1)']","['(35, 10)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (33, 11), (35, 5), (31, 4), (31, 7), (34, 3), (31, 10), (34, 9), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (33, 10), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (35, 9), (29, 11)]",16,0,16
32,"(35, 10)","(35, 9)",North,"[((35, 11), 'North', 1)]","['(35, 10)', '(30, 5)', '(31, 2)', '(34, 1)']","['(35, 11)', '(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (33, 11), (35, 5), (31, 4), (31, 7), (34, 3), (31, 10), (34, 9), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (33, 10), (35, 10), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (35, 9), (29, 11)]",17,0,17
33,"(35, 11)","(35, 10)",North,[],"['(35, 11)', '(30, 5)', '(31, 2)', '(34, 1)']","['(30, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (33, 11), (35, 5), (35, 11), (31, 4), (31, 7), (34, 3), (31, 10), (34, 9), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (33, 10), (35, 10), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (35, 9), (29, 11)]",18,0,18
34,"(30, 5)","(31, 5)",West,"[((29, 5), 'West', 1)]","['(30, 5)', '(31, 2)', '(34, 1)']","['(29, 5)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (33, 11), (35, 5), (35, 11), (31, 4), (31, 7), (34, 3), (31, 10), (34, 9), (30, 5), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (33, 10), (35, 10), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (35, 9), (29, 11)]",9,0,9
35,"(29, 5)","(30, 5)",West,"[((29, 4), 'South', 1)]","['(29, 5)', '(31, 2)', '(34, 1)']","['(29, 4)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (33, 11), (35, 5), (35, 11), (31, 4), (31, 7), (34, 3), (31, 10), (34, 9), (30, 5), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (33, 10), (35, 10), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (35, 9), (29, 5), (29, 11)]",10,0,10
36,"(29, 4)","(29, 5)",South,"[((29, 3), 'South', 1)]","['(29, 4)', '(31, 2)', '(34, 1)']","['(29, 3)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (33, 11), (35, 5), (35, 11), (29, 4), (31, 4), (31, 7), (34, 3), (31, 10), (34, 9), (30, 5), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (33, 10), (35, 10), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (35, 9), (29, 5), (29, 11)]",11,0,11
37,"(29, 3)","(29, 4)",South,"[((28, 3), 'West', 1)]","['(29, 3)', '(31, 2)', '(34, 1)']","['(28, 3)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (33, 5), (32, 3), (35, 2), (32, 9), (33, 11), (35, 5), (35, 11), (29, 4), (31, 4), (31, 7), (34, 3), (31, 10), (34, 9), (30, 5), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (33, 10), (35, 10), (29, 3), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (35, 9), (29, 5), (29, 11)]",12,0,12
38,"(28, 3)","(29, 3)",West,"[((27, 3), 'West', 1)]","['(28, 3)', '(31, 2)', '(34, 1)']","['(27, 3)', '(31, 2)', '(34, 1)']","[(31, 5), (31, 11), (31, 8), (34, 7), (28, 3), (33, 5), (32, 3), (35, 2), (32, 9), (33, 11), (35, 5), (35, 11), (29, 4), (31, 4), (31, 7), (34, 3), (31, 10), (34, 9), (30, 5), (33, 4), (30, 11), (33, 7), (35, 4), (35, 1), (35, 7), (33, 10), (35, 10), (29, 3), (31, 6), (31, 3), (31, 9), (33, 3), (33, 9), (33, 6), (35, 3), (35, 9), (29, 5), (29, 11)]",13,0,13
