iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
32,"(16, 5)","(16, 4)",North,"[((16, 6), 'North', 1)]","['(16, 5)', '(12, 1)', '(14, 3)', '(10, 3)']","['(14, 3)', '(12, 1)', '(10, 3)', '(16, 6)']","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 9), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (14, 2), (17, 1), (10, 4), (11, 9), (10, 7), (16, 2), (13, 9), (16, 5), (18, 2), (15, 9), (18, 5), (18, 8)]",14,0,14
33,"(14, 3)","(14, 2)",North,"[((14, 4), 'North', 1)]","['(14, 3)', '(12, 1)', '(10, 3)', '(16, 6)']","['(12, 1)', '(16, 6)', '(10, 3)', '(14, 4)']","[(14, 1), (17, 9), (10, 6), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 3), (14, 9), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (14, 2), (17, 1), (10, 4), (11, 9), (10, 7), (16, 2), (13, 9), (16, 5), (18, 2), (15, 9), (18, 5), (18, 8)]",14,0,14
34,"(12, 1)","(13, 1)",West,"[((12, 2), 'North', 1)]","['(12, 1)', '(16, 6)', '(10, 3)', '(14, 4)']","['(10, 3)', '(16, 6)', '(14, 4)', '(12, 2)']","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 3), (14, 9), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (14, 2), (17, 1), (10, 4), (11, 9), (10, 7), (16, 2), (13, 9), (16, 5), (18, 2), (15, 9), (18, 5), (18, 8)]",14,0,14
35,"(10, 3)","(10, 4)",South,"[((10, 2), 'South', 1), ((11, 3), 'East', 1)]","['(10, 3)', '(16, 6)', '(14, 4)', '(12, 2)']","['(16, 6)', '(12, 2)', '(14, 4)', '(10, 2)', '(11, 3)']","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 3), (14, 9), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (18, 3), (18, 9), (18, 6), (14, 2), (17, 1), (10, 4), (11, 9), (10, 7), (16, 2), (13, 9), (16, 5), (18, 2), (15, 9), (18, 5), (18, 8)]",14,0,14
36,"(16, 6)","(16, 5)",North,"[((16, 7), 'North', 1)]","['(16, 6)', '(12, 2)', '(14, 4)', '(10, 2)', '(11, 3)']","['(14, 4)', '(12, 2)', '(11, 3)', '(10, 2)', '(16, 7)']","[(12, 1), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 3), (14, 9), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (16, 6), (18, 3), (18, 9), (18, 6), (14, 2), (17, 1), (10, 4), (11, 9), (10, 7), (16, 2), (13, 9), (16, 5), (18, 2), (15, 9), (18, 5), (18, 8)]",15,0,15
37,"(14, 4)","(14, 3)",North,"[((14, 5), 'North', 1)]","['(14, 4)', '(12, 2)', '(11, 3)', '(10, 2)', '(16, 7)']","['(12, 2)', '(10, 2)', '(11, 3)', '(16, 7)', '(14, 5)']","[(12, 1), (14, 4), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 3), (14, 9), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (16, 6), (18, 3), (18, 9), (18, 6), (14, 2), (17, 1), (10, 4), (11, 9), (10, 7), (16, 2), (13, 9), (16, 5), (18, 2), (15, 9), (18, 5), (18, 8)]",15,0,15
38,"(12, 2)","(12, 1)",North,"[((12, 3), 'North', 1)]","['(12, 2)', '(10, 2)', '(11, 3)', '(16, 7)', '(14, 5)']","['(10, 2)', '(16, 7)', '(11, 3)', '(14, 5)', '(12, 3)']","[(12, 1), (14, 4), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 3), (14, 9), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (16, 6), (18, 3), (18, 9), (18, 6), (12, 2), (14, 2), (17, 1), (10, 4), (11, 9), (10, 7), (16, 2), (13, 9), (16, 5), (18, 2), (15, 9), (18, 5), (18, 8)]",15,0,15
39,"(10, 2)","(10, 3)",South,"[((10, 1), 'South', 1)]","['(10, 2)', '(16, 7)', '(11, 3)', '(14, 5)', '(12, 3)']","['(11, 3)', '(16, 7)', '(12, 3)', '(14, 5)', '(10, 1)']","[(12, 1), (14, 4), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 3), (14, 9), (10, 2), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (16, 6), (18, 3), (18, 9), (18, 6), (12, 2), (14, 2), (17, 1), (10, 4), (11, 9), (10, 7), (16, 2), (13, 9), (16, 5), (18, 2), (15, 9), (18, 5), (18, 8)]",15,0,15
40,"(11, 3)","(10, 3)",East,[],"['(11, 3)', '(16, 7)', '(12, 3)', '(14, 5)', '(10, 1)']","['(16, 7)', '(14, 5)', '(12, 3)', '(10, 1)']","[(12, 1), (14, 4), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 4), (16, 1), (18, 4), (18, 1), (18, 7), (12, 9), (14, 3), (14, 9), (10, 2), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (16, 6), (18, 3), (18, 9), (18, 6), (12, 2), (14, 2), (17, 1), (10, 4), (11, 3), (11, 9), (10, 7), (16, 2), (13, 9), (16, 5), (18, 2), (15, 9), (18, 5), (18, 8)]",15,0,15
41,"(16, 7)","(16, 6)",North,"[((15, 7), 'West', 1)]","['(16, 7)', '(14, 5)', '(12, 3)', '(10, 1)']","['(14, 5)', '(10, 1)', '(12, 3)', '(15, 7)']","[(12, 1), (14, 4), (14, 1), (17, 9), (10, 6), (10, 3), (10, 9), (16, 4), (16, 1), (16, 7), (18, 4), (18, 1), (18, 7), (12, 9), (14, 3), (14, 9), (10, 2), (10, 5), (10, 8), (13, 1), (16, 3), (16, 9), (15, 1), (16, 6), (18, 3), (18, 9), (18, 6), (12, 2), (14, 2), (17, 1), (10, 4), (11, 3), (11, 9), (10, 7), (16, 2), (13, 9), (16, 5), (18, 2), (15, 9), (18, 5), (18, 8)]",16,0,16
